292.8224 	EXP 	image_show: image = 'picture\\p03.tif'
292.8224 	EXP 	image_show_text: autoDraw = True
292.8258 	DATA 	Keypress: space
292.8902 	EXP 	window1: recordFrameIntervals = False
292.9043 	EXP 	image_show_text: autoDraw = False
292.9043 	EXP 	image_show: autoDraw = False
293.0209 	EXP 	window1: recordFrameIntervals = True
294.2215 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

294.2215 	WARNING 	FrameRate could not be supplied by psychopy; defaulting to 60.0
294.2218 	EXP 	Created video1 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='GG_left_01_42\\GGZ03.mp4', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='video1', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='norm', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
294.3464 	EXP 	video1: autoLog = True
294.3464 	EXP 	video1: movie = 'GG_left_01_42\\GGZ03.mp4'
294.3464 	EXP 	video1: size = array([1.7, 2. ])
294.3464 	EXP 	video1: ori = 0.0
294.3464 	EXP 	image_video_text: autoDraw = True
295.3362 	EXP 	video1: autoDraw = True
295.3474 	EXP 	image_video_text: autoDraw = False
299.8509 	DATA 	Mouse: wheel shift=(0,1), pos=(1811,729)
300.3169 	DATA 	Mouse: wheel shift=(0,1), pos=(1811,729)
324.6042 	EXP 	Set video1 finished
324.6287 	EXP 	video1: autoDraw = False
324.6287 	EXP 	image_video_text: autoDraw = False
324.6287 	EXP 	image_judge: image = 'picture\\p03.tif'
324.6287 	EXP 	slider_left: markerPos = None
324.6287 	EXP 	slider_left: markerPos = None
324.6287 	EXP 	slider_left: rating = None
324.6287 	EXP 	slider_mid: markerPos = None
324.6287 	EXP 	slider_mid: markerPos = None
324.6287 	EXP 	slider_mid: rating = None
324.6287 	EXP 	slider_right: markerPos = None
324.6287 	EXP 	slider_right: markerPos = None
324.6287 	EXP 	slider_right: rating = None
324.6287 	EXP 	image_judge: autoDraw = True
324.6287 	EXP 	image_judge_text: autoDraw = True
324.6287 	EXP 	slider_left: autoDraw = True
324.6287 	EXP 	slider_mid: autoDraw = True
324.6287 	EXP 	slider_right: autoDraw = True
329.8103 	DATA 	Mouse: Left button down, pos=(808,457)
329.8442 	EXP 	slider_left: markerPos = 4.834375
329.8715 	EXP 	slider_left: markerPos = 4.834375
329.8876 	EXP 	slider_left: markerPos = 4.834375
329.8921 	DATA 	Mouse:  Left button up, pos=(808,457)
329.9094 	EXP 	slider_left: markerPos = 4.834375
329.9094 	EXP 	slider_left: rating = 4.834375
331.2407 	DATA 	Mouse: Left button down, pos=(1313,263)
331.2610 	EXP 	slider_mid: markerPos = 3.015625
331.2883 	EXP 	slider_mid: markerPos = 3.015625
331.3037 	EXP 	slider_mid: markerPos = 3.015625
331.3260 	EXP 	slider_mid: markerPos = 3.015625
331.3305 	DATA 	Mouse:  Left button up, pos=(1313,263)
331.3614 	EXP 	slider_mid: markerPos = 3.015625
331.3614 	EXP 	slider_mid: rating = 3.015625
333.0501 	DATA 	Mouse: Left button down, pos=(1748,260)
333.0611 	EXP 	slider_right: markerPos = 2.9875
333.0843 	EXP 	slider_right: markerPos = 2.9875
333.1145 	EXP 	slider_right: markerPos = 2.9875
333.1321 	EXP 	slider_right: markerPos = 2.9875
333.1610 	EXP 	slider_right: markerPos = 2.9875
333.1658 	DATA 	Mouse:  Left button up, pos=(1747,260)
333.1782 	EXP 	slider_right: markerPos = 2.9875
333.1782 	EXP 	slider_right: rating = 2.9875
