Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
292,_2,N,135,L,N,292_2N135LN,HLN,0,62,62,251,,,1.349,1049.752543,1050.046957,1050.046957,1050.313493,1050.330378,None,up,2.9309116,1050.330378,None,1050.330378,1051.661709,0.1407773,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
482,_5,N,45,L,N,482_5N045LN,HLN,0,63,63,281,,,1.105,1053.445997,1053.743136,1053.743136,1053.976815,1053.99514,None,up,1.816483,1053.99514,None,1053.99514,1055.076134,0.1758654,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,N,270,_,_,_RN270__,N,0,64,64,70,,,0.941,1055.934302,1056.22438,1056.241569,1056.524944,1056.543213,None,up,1.8308208,1056.543213,None,1056.543213,1057.475392,0.1106249,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_4,M,90,_,_,__4M090__,N,0,65,65,34,,,1.052,1058.479386,1058.788883,1058.805416,1059.089222,1059.10588,None,down,2.016143,1059.10588,None,1059.10588,1060.138344,0.0958113,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
264,_2,N,315,R,N,264_2N315RN,HRN,0,66,66,247,,,1.208,1061.243257,1061.537227,1061.5533,1061.837675,1061.853705,None,up,2.6815164,1061.853705,None,1061.853705,1063.05294,0.110002,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
262,_2,N,225,R,N,262_2N225RN,HRN,0,67,67,245,,,0.93,1064.624251,1064.949966,1064.967057,1065.25034,1065.267235,None,up,1.6869897,1065.267235,None,1065.267235,1066.183246,0.0809706,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
393,_4,M,0,R,N,393_4M000RN,HRN,0,68,68,160,,,0.881,1067.077024,1067.365701,1067.365701,1067.664924,1067.681742,None,down,1.9686915,1067.681742,None,1067.681742,1068.546905,0.1122104,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,N,225,_,_,_RN225__,N,0,69,69,69,,,1.108,1069.767826,1070.062774,1070.07902,1070.362894,1070.379609,None,up,1.9488425,1070.379609,None,1070.379609,1071.478452,0.106337,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
492,_5,M,135,L,N,492_5M135LN,HLN,0,70,70,187,,,1.198,1072.424994,1072.743849,1072.760789,1073.044158,1073.060456,None,down,3.2156081,1073.060456,None,1073.060456,1074.242295,0.0867247,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
13,R,M,180,R,N,013RM180RN,HRN,0,71,71,100,,,1.071,1076.404018,1076.691889,1076.691889,1076.990404,1077.007075,None,down,3.2495202,1077.007075,None,1077.007075,1078.074548,0.115748,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,M,45,_,_,_GM045__,N,0,72,72,9,,,0.736,1080.469284,1080.769963,1080.769963,1080.970096,1080.986822,None,down,2.4484886,1080.986822,None,1080.986822,1081.703034,0.2001995,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,N,0,_,_,_GN000__,N,0,73,73,56,,,1.398,1083.614164,1083.903272,1083.903272,1084.150992,1084.167302,None,up,2.7322933,1084.167302,None,1084.167302,1085.54984,0.1698416,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
493,_5,M,180,L,N,493_5M180LN,HLN,0,74,74,188,,,1.269,1087.036656,1087.331113,1087.331113,1087.614515,1087.631657,None,down,2.998702,1087.631657,None,1087.631657,1088.879178,0.1251572,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
36,R,N,135,L,N,036RN135LN,HLN,0,75,75,203,,,1.187,1090.837277,1091.127897,1091.127897,1091.344129,1091.360772,None,up,2.3193245,1091.360772,None,1091.360772,1092.543399,0.1955382,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
428,_4,M,135,L,N,428_4M135LN,HLN,0,76,76,171,,,0.967,1093.800305,1094.091827,1094.108414,1094.391319,1094.407935,None,up,2.8817695,1094.407935,None,1094.407935,1095.357721,0.1087324,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
6,R,N,225,R,N,006RN225RN,HRN,0,77,77,197,,,0.821,1097.419545,1097.70707,1097.70707,1098.004997,1098.021721,None,up,2.9654634,1098.021721,None,1098.021721,1098.820896,0.1196689,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
8,R,N,315,R,N,008RN315RN,HRN,0,78,78,199,,,0.843,1101.097203,1101.386273,1101.418639,1101.701306,1101.718299,None,up,1.6669428,1101.718299,None,1101.718299,1102.551085,0.1022434,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
200,G,N,315,R,N,200GN315RN,HRN,0,79,79,231,,,1.335,1103.516087,1103.816687,1103.816687,1104.099894,1104.116297,None,up,2.3180913,1104.116297,None,1104.116297,1105.432156,0.1198748,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,M,225,_,_,_RM225__,N,0,80,80,21,,,0.716,1106.5727,1106.864071,1106.864071,1107.147351,1107.165374,None,down,1.7485095,1107.165374,None,1107.165374,1107.863367,0.1260366,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,N,315,_,_,_FN315__,N,0,81,81,55,,,1.067,1109.105336,1109.395151,1109.395151,1109.628675,1109.64537,None,up,1.8665417,1109.64537,None,1109.64537,1110.694698,0.1811349,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_5,M,90,_,_,__5M090__,N,0,82,82,42,,,1.366,1111.73028,1112.026358,1112.026358,1112.22637,1112.243142,None,down,2.8635887,1112.243142,None,1112.243142,1113.591454,0.2067504,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,N,270,_,_,_FN270__,N,0,83,83,54,,,0.858,1115.245603,1115.539363,1115.539363,1115.823072,1115.839947,None,up,1.8329335,1115.839947,None,1115.839947,1116.672758,0.1299071,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,M,315,_,_,_FM315__,N,0,84,84,7,,,0.913,1117.787957,1118.087965,1118.104186,1118.387494,1118.404419,None,down,2.1333005,1118.404419,None,1118.404419,1119.30497,0.1038937,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
