Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
208,G,M,315,R,N,208GM315RN,HRN,0,56,56,135,,,1.191,578.9355906,579.2337803,579.2337803,579.4498954,579.4665941,None,up,2.8173193,579.4665941,None,579.4665941,580.6487834,0.1854856,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
35,R,N,90,L,N,035RN090LN,HLN,0,57,57,202,,,0.928,582.5155894,582.813843,582.813843,582.9975653,583.0143096,None,up,1.9173912,583.0143096,None,583.0143096,583.9294251,0.217157,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_2,N,135,_,_,__2N135__,N,0,58,58,75,,,0.886,585.2348506,585.5282013,585.5282013,585.6445882,585.6612342,None,down,2.6823235,585.6612342,None,585.6612342,586.5443095,0.2852213,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,N,0,_,_,_GN000__,N,0,59,59,56,,,1.114,588.6088829,588.9090092,588.9090092,589.0581581,589.0750583,None,up,3.1482248,589.0750583,None,589.0750583,590.1738356,0.2498356,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,F,N,180,_,_,_FN180__,N,0,60,60,52,,,0.951,592.3984958,592.6889587,592.6889587,592.9384453,592.9548835,None,up,2.6662474,592.9548835,None,592.9548835,593.8879315,0.1633956,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
33,R,N,0,L,N,033RN000LN,HLN,0,61,61,200,,,1.223,595.8321959,596.1195161,596.1195161,596.3532408,596.3532408,None,up,2.3995826,596.3532408,None,596.3532408,597.5681383,0.1922416,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
162,F,N,45,L,N,162FN045LN,HLN,0,62,62,217,,,1.272,599.0365196,599.3326554,599.3326554,599.4656207,599.4823042,None,up,2.2332904,599.4823042,None,599.4823042,600.7494497,0.2667133,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
389,_4,N,180,R,N,389_4N180RN,HRN,0,63,63,260,,,1.224,601.9358532,602.2304717,602.2304717,602.4299006,602.4465128,None,down,2.9486866,602.4465128,None,602.4465128,603.6624354,0.2063295,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
138,F,M,45,R,N,138FM045RN,HRN,0,64,64,113,,,0.936,605.6006883,605.8933431,605.8933431,606.1098418,606.1266202,None,down,2.7682564,606.1266202,None,606.1266202,607.0422237,0.1937181,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
1,R,N,0,R,N,001RN000RN,HRN,0,65,65,192,,,1.277,609.1241157,609.4234706,609.4234706,609.6244488,609.6244488,None,up,2.0496626,609.6244488,None,609.6244488,610.8890154,0.2128079,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,F,N,225,_,_,_FN225__,N,0,66,66,53,,,1.332,611.8833199,612.1714697,612.1714697,612.3882632,612.4050201,None,up,2.9314526,612.4050201,None,612.4050201,613.7204956,0.1957267,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
